"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"MANF";"MANF#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C101";"220µF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"P5166-ND";"Panasonic Electronic Components";"ECA-1VM221";"";"";"";"";
"C102";"0.33µ";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"445-5312-ND ";"TDK Corporation";"FK14X7R1H334K";"";"";"";"";
"C103";"22µ";"C-US050-045X075";"C050-045X075";"CAPACITOR, American symbol";"445-8455-ND";"TDK Corporation";"FK20X7R1C226M";"";"";"";"";
"C104";"0.33µ";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"445-5312-ND ";"TDK Corporation";"FK14X7R1H334K";"";"";"";"";
"C105";"1µF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"445-5318-ND";"TDK Corporation";"FK14X7R1C105K";"";"";"";"";
"C106";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";
"D101";"1N4935";"1N4004";"DO41-10";"DIODE";"1N4935FSCT-ND";"Fairchild Semiconductor";"1N4935";"";"";"";"";
"D102";"1N4935";"1N4004";"DO41-10";"DIODE";"1N4935FSCT-ND";"Fairchild Semiconductor";"1N4935";"";"";"";"";
"D103";"1N4935";"1N4004";"DO41-10";"DIODE";"1N4935FSCT-ND";"Fairchild Semiconductor";"1N4935";"";"";"";"";
"D104";"1N4935";"1N4004";"DO41-10";"DIODE";"1N4935FSCT-ND";"Fairchild Semiconductor";"1N4935";"";"";"";"";
"D105";"";"ZENER-DIODEF126-10";"F126Z10";"Z-Diode";"SA5.0ALFCT-ND";"Littelfuse Inc.";"SA5.0A";"";"";"";"";
"D106";"";"ZENER-DIODEF126-10";"F126Z10";"Z-Diode";"SA5.0ALFCT-ND";"Littelfuse Inc.";"SA5.0A";"";"";"";"";
"D107";"";"ZENER-DIODEF126-10";"F126Z10";"Z-Diode";"SA5.0ALFCT-ND";"Littelfuse Inc.";"SA5.0A";"";"";"";"";
"D108";"";"ZENER-DIODEF126-10";"F126Z10";"Z-Diode";"SA5.0ALFCT-ND";"Littelfuse Inc.";"SA5.0A";"";"";"";"";
"D109";"";"ZENER-DIODEF126-10";"F126Z10";"Z-Diode";"SA12ALFCT-ND";"Littelfuse Inc.";"SA12A";"";"";"";"";
"D110";"1N5817-T";"1N5817-T";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"1N5817FSCT-ND";"Fairchild Semiconductor";"1N5817";"";"";"";"";
"IC101";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"LM7805CT-ND ";"Fairchild Semiconductor";"LM7805CT";"";"";"";"";
"IC102";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"296-9518-5-ND";"Texas Instruments";"L293DNE";"";"L293D";"9589619";"56P8249";
"IC103";"FEATHER_M0";"FEATHER_M0";"FEATHER_M0";"";"2830-ND";"Adafruit Industries LLC";"2830";"";"";"";"";
"J101";"AUDIO-JACK2PTH";"AUDIO-JACK2PTH";"AUDIO-JACK";"Stereo audio jack with bypass switches.";"CP1-3523N-ND";"CUI Inc.";"SJ1-3523N";"";"";"";"";
"J102";"AUDIO-JACK2PTH";"AUDIO-JACK2PTH";"AUDIO-JACK";"Stereo audio jack with bypass switches.";"CP1-3523N-ND";"CUI Inc.";"SJ1-3523N";"";"";"";"";
"J103";"RJ11-6PTH";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"AE10383-ND";"Assmann WSW Components";"-2004-1-4-LP-N-R";"";"";"";"";
"J104";"MotA";"1X02_3.5MM_MOT";"1X02_3.5MM_MOT";"";"ED2740-ND";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";
"J105";"MotA";"1X02_3.5MM_MOT";"1X02_3.5MM_MOT";"";"ED2740-ND";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";
"J106";"MotA";"1X02_3.5MM_MOT";"1X02_3.5MM_MOT";"";"ED2740-ND";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";
"J107";"MotA";"1X02_3.5MM_MOT";"1X02_3.5MM_MOT";"";"ED2740-ND";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";
"J108";"PJ-102A";"PJ-102A";"PJ-102A";"";"CP-102A-ND";"CUI Inc.";"PJ-102A";"";"";"";"";
"J109";"MotA";"1X02_3.5MM_MOT";"1X02_3.5MM_MOT";"";"ED2740-ND";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";
"J110";"MotA";"1X02_3.5MM_MOT";"1X02_3.5MM_MOT";"";"ED2740-ND";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";
"LED101";"";"LED3MM";"LED3MM";"LED";"754-1275-ND";"Kingbright";"WP7113SRD/D";"";"";"";"";
"LED102";"";"LED3MM";"LED3MM";"LED";"754-1275-ND";"Kingbright";"WP7113SRD/D";"";"";"";"";
"LED103";"";"LED3MM";"LED3MM";"LED";"754-1275-ND";"Kingbright";"WP7113SRD/D";"";"";"";"";
"LED104";"";"LED3MM";"LED3MM";"LED";"754-1275-ND";"Kingbright";"WP7113SRD/D";"";"";"";"";
"LED105";"";"LED5MM";"LED5MM";"LED";"754-1735-ND";"Kingbright";"WP7113SGD";"";"";"";"";
"Q101";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"International Rectifier";"IRLB8721PBF";"";"";"";"";
"Q102";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"International Rectifier";"IRLB8721PBF";"";"";"";"";
"Q103";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"International Rectifier";"IRLB8721PBF";"";"";"";"";
"Q104";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"International Rectifier";"IRLB8721PBF";"";"";"";"";
"R101";"1K5";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"Stackpole Electronics Inc";"CF14JT330R";"";"";"";"";
