"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"DIGIKEY2#";"MANF";"MANF#";"MANF2";"MANF2#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"16X2";"PINHD-1X10";"PINHD-1X10";"1X10-BIG";"Pin header 1x10 0.1" spacing";"";"";"";"";"";"";"";"";"";"";
"C1";"2.2nF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"BC1029CT-ND";"";"Vishay BC Components";"K222J15C0GF5TL2";"";"";"";"";"";"";
"C2";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";"";"";
"C3";"1u";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"445-8614-ND";"";"TDK Corporation";"FK28X7R1C105K";"";"";"";"";"";"";
"C4";"100nF";"C-US025-060X050";"C025-060X050";"CAPACITOR, American symbol";"445-8325-ND";"";"TDK Corporation";"FK16C0G1H104J";"";"";"";"";"";"";
"C5";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C6";"10pF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"BC1001CT-ND";"";"Vishay BC Components";"K100J15C0GF5TL2";"";"";"";"";"";"";
"C7";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C8";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C9";"10n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"445-8384-ND";"";"TDK Corporation";"FK18C0G1H103J";"";"";"";"";"";"";
"C10";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C11";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C12";"22nF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"445-8280-ND";"";"TDK Corporation";"FK14C0G1H223J";"";"";"";"";"";"";
"C13";"47nF";"C-US025-040X050";"C025-040X050";"CAPACITOR, American symbol";"445-8327-ND";"";"TDK Corporation";"FK16C0G1H473J";"";"";"";"";"";"";
"C14";"220µF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"P5166-ND";"";"Panasonic Electronic Components";"ECA-1VM221";"";"";"";"";"";"";
"C15";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C16";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";
"C17";"0.33µ";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"445-5312-ND ";"";"TDK Corporation";"FK14X7R1H334K";"";"";"";"";"";"";
"C18";"22µ";"C-US050-045X075";"C050-045X075";"CAPACITOR, American symbol";"445-8455-ND";"";"TDK Corporation";"FK20X7R1C226M";"";"";"";"";"";"";
"C19";"0.33µ";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"445-5312-ND ";"";"TDK Corporation";"FK14X7R1H334K";"";"";"";"";"";"";
"D1";"1N4935";"1N4004";"DO41-10";"DIODE";"1N4935FSCT-ND";"";"Fairchild Semiconductor";"1N4935";"";"";"";"";"";"";
"IC1";"LMC6484P";"LMC6484P";"DIL14";"SoundPLUS (TM) High Performance AUDIO OPERATIONAL AMPLIFIERS";"LMC6484AIN/NOPB-ND";"AE10012-ND";"Texas Instruments";"LMC6484AIN/NOPB";"";"";"";"";"";"";
"IC2";"LM555N";"LM555N";"DIL08";"TIMER";"LM555CNFS-ND";"AE9986-ND";"Fairchild Semiconductor";"LM555CN";"";"";"";"";"";"";
"IC3";"74HCT74N";"74HCT74N";"DIL14";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"296-1625-5-ND ";"AE10012-ND";"Texas Instruments";"SN74HCT74N";"";"";"";"";"";"";
"IC4";"4044N";"4044N";"DIL16";"Quad 3-state NAND R/S LATCH";"296-2051-5-ND ";"AE9992-ND";"Texas Instruments";"CD4044BE";"";"";"";"";"";"";
"IC5";"";"MCP3301";"DIL08";"";"MCP3301-BI/P-ND";"AE9986-ND";"Microchip Technology";"MCP3301-BI/P";"";"";"";"";"";"";
"IC6";"";"LM317L";"317L";"VOLTAGE REGULATOR";"296-33312-5-ND";"";"Texas Instruments";"LM317LCLP";"";"";"";"";"";"";
"IC8";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"LM7805CT-ND ";"";"Fairchild Semiconductor";"LM7805CT";"";"";"";"";"";"";
"J1";"J5MM";"J5MM";"05";"Bridge";"0.0EBK-ND";"";"Yageo";"ZOR-12-B-52-0R";"";"";"";"";"";"";
"JP1";"LED";"LED_CXN";"1X02_SCREW";"";"475-3002-ND";"492-1502-ND";"OSRAM Opto Semiconductors Inc";"SFH 4547";"Bivar Inc";"CR-174";"";"";"";"";
