"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"DIGIKEY2#";"DIGIKEY3#";"DIGIKEY4#";"DIGIKEY5#";"DIGIKEY6#";"DIGIKEY7#";"MANF";"MANF#";"MANF2";"MANF2#";"MANF3";"MANF3#";"MANF4";"MANF4#";"MANF5";"MANF5#";"MANF6";"MANF6#";"MANF7";"MANF7#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"1V65";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"AGND";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BPF";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BRD1";"TEENSY_3.1-3.2_DIL+4";"TEENSY_3.1-3.2_DIL+4";"TEENSY_3.0-3.2&LC_DIL+4";"Teensy 3.1 and 3.2 in a DIL package with the inner 4 pins";"1568-1231-ND";"300-1002-ND";"SAM1198-14-ND";"SAM1198-14-ND";"S7038-ND";"S7047-ND";"S7047-ND";"SparkFun Electronics";"DEV-13736";"Citizen Finedevice Co Ltd";"CFS-20632768DZFB";"Samtec Inc.";"SSQ-114-03-G-S";"Samtec Inc.";"SSQ-114-03-G-S";"Sullins Connector Solutions";"PPPC051LFBN-RC";"Sullins Connector Solutions";"PPPC141LFBN-RC";"Sullins Connector Solutions";"PPPC141LFBN-RC";"";"";"";"";"";
"C1";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"3pF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"445-8377-ND";"";"";"";"";"";"";"TDK Corporation";"FK18C0G1H030C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"1.2nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1026CT-ND";"";"";"";"";"";"";"Vishay BC Components";"K122J15C0GF5TL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"1.2nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1026CT-ND";"";"";"";"";"";"";"Vishay BC Components";"K122J15C0GF5TL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
