h
# COMMANDS:
#   a               Annotate   Type a note into the log file
#   c       Start Controller   Start configured controller: NONE
#   g               Set Gain   Set nephelometer gain
#   h                   Help   Print help information
#   m                Measure   Take online measurements
#   p                   Pump   Manually switch on a pump
#   s                  Setup   Set parameters for a controller
#   z      Test Nephelometer   Switch to test nephelometer stub
# CONFIGURED CONTROLLER: NONE
# CONTROLLERS:
#   m                                             Manual
#   t                                        Turbidostat
#   r                                  Turbidostat Ratio
#   i                                 Turbidostat Induce
#   c                        Turbidostat Cycle Time Conc
#   g                     Turbidostat Gradient Time Conc
#   l                 Turbidostat Log-Gradient Time Conc
#   d                       Turbidostat Density Gradient
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	75.6	 0.347	2
M	76.1	 0.348	2
M	76.6	 0.353	2
M	77.1	 0.330	2
M	77.6	 0.336	2
M	78.1	 0.325	2
M	78.6	 0.336	2
M	79.1	 0.341	2
M	79.6	31.886	2
M	80.1	40.799	2
M	80.6	40.800	2
M	81.1	40.800	2
M	81.6	40.800	2
M	82.1	40.800	2
M	82.6	40.800	2
M	83.1	 8.606	2
M	83.6	 0.364	2
M	84.1	 0.301	2
M	84.6	 0.319	2
M	85.1	 0.304	2
M	85.7	 0.309	2
M	86.2	 0.300	2
M	86.7	 0.305	2
M	87.2	40.803	2
M	87.7	40.802	2
M	88.2	40.807	2
M	88.7	40.796	2
M	89.2	32.138	2
M	89.7	 1.133	2
M	90.2	 6.924	2
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 5
# Planned pumping time: 5 sec (any key to interrupt)
# Pumped 5.000 seconds
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: b
# Enter pump duration (sec): 5
# Planned pumping time: 5 sec (any key to interrupt)
# Pumped 5.000 seconds
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 5
# Planned pumping time: 5 sec (any key to interrupt)
# Pumped 5.000 seconds
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: b
# Enter pump duration (sec): 5
# Planned pumping time: 5 sec (any key to interrupt)
# Pumped 5.000 seconds
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 5
# Planned pumping time: 5 sec (any key to interrupt)
# Pumped 5.000 seconds
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	256.2	 0.352	2
M	256.7	 0.343	2
M	257.2	 0.336	2
M	257.7	 0.338	2
M	258.2	 0.332	2
M	258.7	 0.341	2
M	259.2	 4.917	2
M	259.7	12.238	2
M	260.2	 3.292	2
M	260.7	 0.336	2
M	261.3	 0.332	2
M	261.8	 0.339	2
M	262.3	 0.346	2
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	278.2	 0.337	2
M	278.7	 0.348	2
M	279.2	 0.343	2
M	279.7	 0.334	2
M	280.2	 0.340	2
M	280.7	 0.339	2
M	281.2	 0.340	2
M	281.8	 0.343	2
M	282.3	 0.331	2
M	282.8	 0.338	2
M	283.3	 0.341	2
M	283.8	 0.337	2
M	284.3	 0.289	2
M	284.8	 0.295	2
M	285.3	 0.287	2
M	285.8	 0.281	2
M	286.3	 0.288	2
M	286.8	 0.494	2
M	287.3	 1.050	2
M	287.8	 1.614	2
M	288.3	 1.509	2
M	288.8	 0.608	2
M	289.3	 0.735	2
M	289.8	 1.301	2
M	290.3	 0.841	2
M	290.8	 0.378	2
M	291.3	 0.321	2
M	291.8	 0.341	2
M	292.3	 0.334	2
M	292.8	 0.343	2
M	293.3	 0.338	2
M	293.8	 0.342	2
M	294.3	 0.349	2
M	294.8	 0.356	2
M	295.3	 0.440	2
M	295.8	 0.447	2
M	296.3	 0.457	2
M	296.8	 0.544	2
M	297.3	 0.559	2
M	297.8	 0.625	2
M	298.3	 0.613	2
M	298.8	 0.624	2
M	299.3	13.616	2
M	299.8	12.322	2
M	300.3	12.371	2
M	300.8	10.906	2
M	301.3	 0.334	2
M	301.8	 0.345	2
M	302.3	 0.359	2
M	302.8	 0.349	2
M	303.3	17.409	2
M	303.8	 1.983	2
M	304.3	 2.030	2
M	304.8	 2.737	2
M	305.3	 2.713	2
M	305.8	 2.677	2
M	306.3	 2.656	2
M	306.9	 2.658	2
M	307.4	 2.675	2
M	307.9	 2.660	2
M	308.4	 2.674	2
M	308.9	 2.671	2
M	309.4	 2.660	2
M	309.9	 2.661	2
M	310.4	 2.676	2
M	310.9	 2.772	2
M	311.4	 2.826	2
M	311.9	 2.980	2
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	314.8	 0.344	2
M	315.3	 0.335	2
M	315.8	 0.331	2
M	316.3	 0.348	2
M	316.8	 0.336	2
M	317.3	 0.329	2
M	317.8	 0.337	2
M	318.3	 0.334	2
M	318.8	 0.329	2
M	319.3	 0.348	2
M	319.8	 0.340	2
M	320.3	 1.457	2
M	320.8	 6.739	2
M	321.3	10.591	2
M	321.8	12.017	2
M	322.3	 7.810	2
M	322.8	40.800	2
M	323.4	 8.588	2
M	323.9	 8.803	2
M	324.4	28.955	2
M	324.9	28.796	2
M	325.4	28.949	2
M	325.9	28.959	2
M	326.4	35.475	2
M	326.9	 0.338	2
M	327.4	 0.336	2
M	327.9	 0.333	2
# band-dsp-teensy manual [acghmpsz] > h
# COMMANDS:
#   a               Annotate   Type a note into the log file
#   c       Start Controller   Start configured controller: NONE
#   g               Set Gain   Set nephelometer gain
#   h                   Help   Print help information
#   m                Measure   Take online measurements
#   p                   Pump   Manually switch on a pump
#   s                  Setup   Set parameters for a controller
#   z      Test Nephelometer   Switch to test nephelometer stub
# CONFIGURED CONTROLLER: NONE
# CONTROLLERS:
#   m                                             Manual
#   t                                        Turbidostat
#   r                                  Turbidostat Ratio
#   i                                 Turbidostat Induce
#   c                        Turbidostat Cycle Time Conc
#   g                     Turbidostat Gradient Time Conc
#   l                 Turbidostat Log-Gradient Time Conc
#   d                       Turbidostat Density Gradient
# band-dsp-teensy manual [acghmpsz] > s
# Pick a controller to configure
# CONFIGURED CONTROLLER: NONE
# CONTROLLERS:
#   m                                             Manual
#   t                                        Turbidostat
#   r                                  Turbidostat Ratio
#   i                                 Turbidostat Induce
#   c                        Turbidostat Cycle Time Conc
#   g                     Turbidostat Gradient Time Conc
#   l                 Turbidostat Log-Gradient Time Conc
#   d                       Turbidostat Density Gradient
# Pick a controller: t=Turbidostat
# Current settings:
# Target neph 40.951
# Pump A
# Hit return to leave a parameter unchanged
# Enter target neph measurement(40.951): 10
# Enter media pump (A): *
# (not updated)
# Current settings:
# Target neph 10.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > c
T	time.s	neph	gain	target	pumpon	pumptime.s
T	0	0.337	2	10.000	0	15.000
T	0	0.336	2	10.000	0	15.000
T	1	0.333	2	10.000	0	15.000
T	2	0.340	2	10.000	0	15.000
T	3	0.335	2	10.000	0	15.000
T	4	0.345	2	10.000	0	15.000
T	5	0.337	2	10.000	0	15.000
T	6	0.337	2	10.000	0	15.000
T	7	0.332	2	10.000	0	15.000
T	8	0.341	2	10.000	0	15.000
T	9	0.337	2	10.000	0	15.000
T	10	0.333	2	10.000	0	15.000
